,,,,,,,,,,,Boaz's Point Lat,,Boaz's Point Lon,,Boaz's Point Alt,
104,1c:b9:c4:95:ed:b7, ,48,-92,32.10400481,35.21009591,705.8336905,03/12/2017 09:03,Approx. w-center algo1,,32.10400481,MATCH,35.21009591,MATCH,705.8336905,MATCH
105,1c:b9:c4:16:e5:a8,Ariel_University,6,-81,32.10401436,35.21009737,707.2504239,03/12/2017 09:03,Approx. w-center algo1,,32.10401436,MATCH,35.21009737,MATCH,707.2504239,MATCH
106,1c:b9:c4:96:f1:57, ,52,-82,32.10406321,35.21009737,707.5519127,03/12/2017 09:03,Approx. w-center algo1,,32.10406321,MATCH,35.21009737,MATCH,707.5519127,MATCH
107,1c:b9:c4:14:2b:8c,Ariel_University,44,-82,32.10406321,35.21010139,707.6527665,03/12/2017 09:03,Approx. w-center algo1,,32.10406321,MATCH,35.21010139,MATCH,707.6527665,MATCH
108,1c:b9:c4:96:ee:97, ,36,-85,32.10410349,35.21011302,707.8280473,03/12/2017 09:04,Approx. w-center algo1,,32.10410349,MATCH,35.21011302,MATCH,707.8280473,MATCH
109,1c:b9:c4:14:2c:3c,Ariel_University,52,-67,32.10412094,35.21015409,707.8478869,03/12/2017 09:09,Approx. w-center algo1,,32.10412094,MATCH,35.21015409,MATCH,707.8478869,MATCH
110,1c:b9:c4:96:11:a7, ,44,-87,32.10412387,35.21017235,707.9141706,03/12/2017 09:04,Approx. w-center algo1,,32.10412387,MATCH,35.21017235,MATCH,707.9141706,MATCH
111,02:21:5c:af:69:82,DIRECT-IRDESKTOP-ETE41T5msTU,36,-90,32.10419361,35.21017541,707.9593217,03/12/2017 09:04,Approx. w-center algo1,,32.10419361,MATCH,35.21017541,MATCH,707.9593217,MATCH
112,1c:b9:c4:94:2c:37, ,52,-85,32.10419836,35.21020742,708.1143382,03/12/2017 09:04,Approx. w-center algo1,,32.10419836,MATCH,35.21020742,MATCH,708.1143382,MATCH
113,1c:b9:c4:14:2c:38,Ariel_University,6,-76,32.10422292,35.21020742,708.273839,03/12/2017 09:04,Approx. w-center algo1,,32.10422292,MATCH,35.21020742,MATCH,708.273839,MATCH
114,00:18:25:12:72:f0,Coolnet-Hotspot,7,-92,32.10423611,35.21020742,710.1110186,03/12/2017 09:04,Approx. w-center algo1,,32.10423611,MATCH,35.21020742,MATCH,710.1110186,MATCH
115,1c:b9:c4:96:f4:77, ,36,-81,32.10424217,35.21020742,710.4194107,03/12/2017 09:07,Approx. w-center algo1,,32.10424217,MATCH,35.21020742,MATCH,710.4194107,MATCH
116,1c:b9:c4:15:fd:4c,Ariel_University,36,-83,32.10440239,35.21024297,710.4194107,03/12/2017 09:05,Approx. w-center algo1,,32.10440239,MATCH,35.21024297,MATCH,710.4194107,MATCH
